#fortia(MW)=778.45----->98.8%
#paragwgh(MW)=787.9
#apwleies(MW)=9.45----->1.2%


#BUS   NAME    VNOM    PLOAD          QLOAD       BSHUNT       QSHUNT       ;
BUS BUS90 11. 0. 0. 0. 0. ;
BUS BUS91 132. 0. 0. 0. 0. ;
BUS BUS92 132. 0. 0. 0. 0. ;
BUS BUS93 132. 0. 0. 0. 0. ;
BUS BUS94 132. 0. 0. 0. 0. ;
BUS BUS95 11.5 0. 0. 0. 0. ;
BUS BUS96 11.5 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS97 11.5 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS98 132. 0. 0. 0. 0. ;
BUS BUS99 132. 0. 0. 0. 0. ;
BUS BUS100 132. 0. 0. 0. 0. ;
BUS BUS101 11.5 0. 0. 0. 0. ;
BUS BUS102 11.5 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS103 11.5 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS104 132. 0. 0. 0. 0. ;
BUS BUS105 132. 4.122558 0.909428 0. 0. ;
BUS BUS106 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS107 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS108 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS109 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS110 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS111 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS112 132. 0. 0. 0. 0. ;
BUS BUS113 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS114 11. 0. 0. 0. 0. ;
BUS BUS115 11. 0. 0. 0. 0. ;
BUS BUS116 11. 0. 0. 0. 0. ;
BUS BUS117 132. 0. 0. 0. 0. ;
BUS BUS118 11. 0. 0. 0. 0. ; #fortio zygou gennitrias
BUS BUS119 11. 0. 0. 0. 0. ;
BUS BUS120 11. 0. 0. 0. 0. ;
BUS BUS121 11. 0. 0. 0. 0. ;
BUS BUS122 132. 0. 0. -36.958696 0. ; #SHUNT05-----------prostethike h aergos ton phniwn(-22.5) me ayth twn pyknwtwn(+2)
BUS BUS123 20. 0. 0. 0. 0. ;
BUS BUS124 20. 0. 0. 0. 0. ; #Wind farm-ALEXIGRO




#LINE  NAME    BUS1    BUS2      R           X            WC2          SNOM            BR              ;
LINE   LN01    BUS03   BUS04     3.369812    12.68821     45.65849428  86.602534       1               ;
LINE   LN02    BUS05   BUS06     3.00372     11.063468    39.95956194  83.715786       1               ;
LINE   LN03    BUS08   BUS09     0.05984     0.2431       63.11250788  128.7           1               ;
LINE   LN04    BUS09   BUS10     0.033792    0.13728      35.64000445  128.7           1               ;
LINE   LN05    BUS01   BUS11     0.42854584  1.652569     151.5332062  86.602534       1               ;
LINE   LN06    BUS01   BUS11     0.42895164  1.654241     152.1726458  86.602534       1               ;
LINE   LN07    BUS02   BUS11     0.4656925   1.93878      145.9119615  86.602534       1               ;
LINE   LN08    BUS02   BUS11     0.4654218   1.9379881    146.0797533  86.602534       1               ;
LINE   LN09    BUS03   BUS12     1.620957    6.103322     21.96278937  86.602534       1               ;
LINE   LN10    BUS11   BUS13     1.742771    6.5636945    30.42196347  86.602534       1               ;
LINE   LN11    BUS13   BUS14     2.174451    8.1881025    32.38023708  86.602534       1               ;
LINE   LN12    BUS15   BUS05     4.260267    4.332834     13.11155648  13.279055       1               ;
LINE   LN13    BUS16   BUS07     2.011536    6.512761     24.07248343  83.715786       1               ;
LINE   LN14    BUS17   BUS07     2.434998    7.883805     29.14014415  83.715786       1               ;
LINE   LN15    BUS18   BUS11     0.9551453   3.40729      12.11870256  83.715786       1               ;
LINE   LN16    BUS19   BUS11     1.4080203   4.8796666    84.65517809  83.715786       1               ;
LINE   LN17    BUS20   BUS11     1.837284    6.917848     24.89385919  86.602534       1               ;
LINE   LN18    BUS20   BUS21     0.003744    0.0109008    1.070639697  88.044          1               ;
LINE   LN19    BUS22   BUS23     0.0016926   0.00423926   5.421603522  22.95           1               ;
LINE   LN20    BUS22   BUS23     0.0016926   0.00423926   5.421603522  22.95           1               ;
LINE   LN21    BUS22   BUS23     0.0016926   0.00423926   5.421603522  22.95           1               ;
LINE   LN22    BUS24   BUS15     6.01186     6.6882566    20.16911971  13.279055       1               ;
LINE   LN23    BUS25   BUS16     1.39811361  4.5327792    19.14074331  83.715786       1               ;
LINE   LN24    BUS25   BUS17     1.3116581   4.2518592    17.59072418  83.715786       1               ;
LINE   LN25    BUS26   BUS08     0.286104    0.4527854    207.480017   53.982245       1               ;
LINE   LN26    BUS26   BUS08     0.286104    0.4527854    207.480017   53.982245       1               ;
LINE   LN27    BUS26   BUS27     0.15372     0.651265     243.9008271  75.055543       1               ;
LINE   LN28    BUS27   BUS10     0.2484672   0.3528552    300.1914276  51.961523       1               ;
LINE   LN29    BUS28   BUS10     0.1272      0.51675      134.1562667  128.7           1               ;
LINE   LN30    BUS29   BUS18     2.2827591   7.9066386    143.1633733  83.715786       1               ;
LINE   LN31    BUS30   BUS19     3.82204838  13.5717721   98.60649302  83.715786       1               ;
LINE   LN32    BUS31   BUS24     5.3046997   6.4594958    20.38180156  13.279055       1               ;
LINE   LN33    BUS32   BUS25     0.1707428   0.7052696    250.188585   128.7           1               ;
LINE   LN34    BUS32   BUS25     0.1702604   0.7032771    249.4817266  128.7           1               ;
LINE   LN35    BUS32   BUS38     0.6961703   2.4992285    304.4358452  83.715786       1               ;
LINE   LN36    BUS32   BUS33     0.49042287  1.606444     12.08965913  83.715786       1               ;
LINE   LN37    BUS33   BUS38     0.20137     0.875185     289.5464577  93.06           1               ;
LINE   LN38    BUS34   BUS29     1.612249    5.725719     20.41789161  83.715786       1               ;
LINE   LN39    BUS35   BUS31     0.7801334   2.87837      10.33139161  83.715786       1               ;
LINE   LN40    BUS36   BUS32     0.00024178  0.00134774   0.749898166  128.7           1               ;
LINE   LN41    BUS36   BUS32     0.00024178  0.00134774   0.749898166  128.7           1               ;
LINE   LN42    BUS37   BUS32     0.00029673  0.00165405   0.920329568  128.7           1               ;
LINE   LN43    BUS37   BUS32     0.00029673  0.00165405   0.920329568  128.7           1               ;
LINE   LN44    BUS38   BUS26     0.25655101  1.1577649    373.0618928  75.055543       1               ;
LINE   LN45    BUS38   BUS27     0.1804992   0.891908     198.2835902  128.7           1               ;
LINE   LN46    BUS38   BUS27     0.1784432   0.882468     196.0609021  128.7           1               ;
LINE   LN47    BUS38   BUS28     0.19936     0.8099       210.2625263  128.7           1               ;
LINE   LN48    BUS38   BUS28     0.19936     0.8099       210.2625263  128.7           1               ;
LINE   LN49    BUS39   BUS34     1.265533    4.765057     17.14704746  86.602534       1               ;
LINE   LN50    BUS39   BUS30     0.6054589   2.279709     8.20352675   86.602534       1               ;
LINE   LN51    BUS39   BUS11     5.461117    19.97725     71.62620829  83.715786       1               ;
LINE   LN52    BUS39   BUS20     3.677594    13.26183     47.46078065  83.715786       1               ;
LINE   LN53    BUS40   BUS38     0.6736203   4.427547     0.           259.776         1               ;
LINE   LN54    BUS40   BUS38     0.6745524   4.433673     0.           259.776         1               ;
LINE   LN55    BUS41   BUS42     0.6189064   2.166229     163.7209245  86.602534       1               ;
LINE   LN56    BUS43   BUS39     0.1423884   0.5881491    208.6410221  128.7           1               ;
LINE   LN57    BUS44   BUS39     0.141414    0.620046     211.0259622  107.712         1               ;
LINE   LN58    BUS44   BUS39     0.142454    0.624606     212.5779089  107.712         1               ;
LINE   LN59    BUS45   BUS46     0.1268072   0.3915954    82.99192437  86.602534       1               ;
LINE   LN60    BUS46   BUS39     0.1486605   0.459081     97.29433908  86.602534       1               ;
LINE   LN61    BUS47   BUS40     2.55668369  8.2950645    30.64819161  83.715786       1               ;
LINE   LN62    BUS123  BUS124    0.000405    0.00095      2.214823763  19.36           1               ;
LINE   LN63    BUS123  BUS124    0.000405    0.00095      2.214823763  19.36           1               ;
LINE   LN64    BUS123  BUS124    0.000405    0.00095      2.214823763  19.36           1               ;
LINE   LN65    BUS50   BUS40     0.9343225   3.517965     12.6593888   86.602534       1               ;
LINE   LN66    BUS51   BUS53     0.000405    0.00095      2.214823763  19.36           1               ;
LINE   LN67    BUS51   BUS53     0.000405    0.00095      2.214823763  19.36           1               ;
LINE   LN68    BUS51   BUS53     0.000405    0.00095      2.214823763  19.36           1               ;
LINE   LN69    BUS53   BUS54     1.547764    1.797544     11.07758811  7.15            1               ;
LINE   LN70    BUS54   BUS55     0.00426667  0.00366667   5.152210381  10.384          1               ;
LINE   LN71    BUS54   BUS55     0.00426667  0.00366667   5.152210381  10.384          1               ;
LINE   LN72    BUS54   BUS55     0.00426667  0.00366667   5.152210381  10.384          1               ;
LINE   LN73    BUS53   BUS56     0.4595451   0.5316258    6.013632587  7.15            1               ;
LINE   LN74    BUS52   BUS57     0.0004528   0.0048       2362.477675  16.4            1               ;
LINE   LN75    BUS52   BUS57     0.0004528   0.0048       2362.477675  16.4            1               ;
LINE   LN76    BUS58   BUS43     0.174334    0.7201035    255.4507526  128.7           1               ;
LINE   LN77    BUS58   BUS59     0.07980712  0.285772     68.38107613  86.602534       1               ;
LINE   LN78    BUS59   BUS39     0.2544392   1.050986     372.8285082  128.7           1               ;
LINE   LN79    BUS59   BUS45     0.2245807   0.732382     162.9394198  86.602534       1               ;
LINE   LN80    BUS62   BUS60     0.003232    0.01313      6.817500851  128.7           1               ;
LINE   LN81    BUS62   BUS60     0.003232    0.01313      6.817500851  128.7           1               ;
LINE   LN82    BUS62   BUS61     0.003376    0.013715     7.121250889  128.7           1               ;
LINE   LN83    BUS62   BUS61     0.003376    0.013715     7.121250889  128.7           1               ;
LINE   LN84    BUS62   BUS39     3.922029    13.53507     56.51747263  83.715786       1               ;
LINE   LN85    BUS62   BUS39     3.922029    13.53507     56.51747263  83.715786       1               ;
LINE   LN86    BUS62   BUS36     1.28843127  12.53981335  7.602654222  183.48          1               ;
LINE   LN87    BUS62   BUS37     1.28861323  13.16184294  9.550441667  183.48          1               ;
LINE   LN88    BUS62   BUS63     0.001744    0.007085     3.678750459  128.7           1               ;
LINE   LN89    BUS62   BUS63     0.001744    0.007085     3.678750459  128.7           1               ;
LINE   LN90    BUS63   BUS47     0.59345286  5.66506592   0.112733454  86.602534       1               ;
LINE   LN91    BUS64   BUS40     1.807843    6.806994     24.49495619  86.602534       1               ;
LINE   LN92    BUS64   BUS48     1.021472    3.846105     13.84019946  86.602534       1               ;
LINE   LN93    BUS64   BUS50     0.2336233   0.9222136    172.293231   86.602534       1               ;
LINE   LN94    BUS64   BUS49     1.662559    6.259961     22.52645665  86.602534       1               ;
LINE   LN95    BUS64   BUS65     2.043382    7.514247     27.20595497  83.715786       1               ;
LINE   LN96    BUS72   BUS49     3.1051354   11.13091     46.52136899  83.715786       1               ;
LINE   LN97    BUS72   BUS66     0.0014365   0.007475     4.696681017  114.576         1               ;
LINE   LN98    BUS72   BUS66     0.0014365   0.007475     4.696681017  114.576         1               ;
LINE   LN99    BUS72   BUS67     0.00160225  0.0083375    5.23860575   114.576         1               ;
LINE   LN100   BUS72   BUS67     0.00160225  0.0083375    5.23860575   114.576         1               ;
LINE   LN101   BUS66   BUS40     1.220128    8.01961      0.           259.776         1               ;
LINE   LN102   BUS67   BUS40     1.219621    8.01628      0.           259.776         1               ;
LINE   LN103   BUS72   BUS68     0.6034392   2.307079     130.6806649  86.602534       1               ;
LINE   LN104   BUS72   BUS68     0.6041645   2.309867     130.8903914  86.602534       1               ;
LINE   LN105   BUS72   BUS69     1.738941    5.811118     29.5420624   83.715786       1               ;
LINE   LN106   BUS72   BUS69     1.738807    5.810565     29.34571286  83.715786       1               ;
LINE   LN107   BUS72   BUS70     2.346166    8.82083      31.75383073  83.715786       1               ;
LINE   LN108   BUS72   BUS71     2.7069791   2.921168     102.3854526  83.715786       1               ;
LINE   LN109   BUS70   BUS41     0.7038226   2.650073     9.53628188   86.602534       1               ;
LINE   LN110   BUS71   BUS42     0.3263718   1.007874     213.6015969  115.5           1               ;
LINE   LN111   BUS73   BUS61     0.1980485   1.906838     0.           232.32          1               ;
LINE   LN112   BUS74   BUS60     0.1980485   1.906838     0.           232.32          1               ;
